species_code,scientific_name,data_year,type,percent_forested_population,percent_global_population
harduc,Histrionicus histrionicus,2022,breeding,0.7452413818590717,1.6543796234468347e-5
yelwar,Setophaga petechia,2022,nonbreeding,0.36646743430459006,1.637004751406875e-5
wlswar,Cardellina pusilla,2022,nonbreeding,0.3709696152996962,1.5644797096537068e-5
nrwswa,Stelgidopteryx serripennis,2022,nonbreeding,0.3720743729114354,1.390754656012763e-5
pitwhy,Vidua macroura,2021,resident,0.39192142533624463,1.3589617833762678e-5
royter1,Thalasseus maximus,2022,breeding,0.3414985030848921,1.3566946151666214e-5
balori,Icterus galbula,2022,breeding,0.8467883120841594,1.3400676555927911e-5
ycnher,Nyctanassa violacea,2022,nonbreeding,0.05678110455577315,1.3397113161932684e-5
baispa,Centronyx bairdii,2022,nonbreeding,0.01728269964581574,1.3066244146475521e-5
mutswa,Cygnus olor,2022,breeding,0.6846629162763577,1.2550230627915786e-5
mexduc,Anas diazi,2022,resident,0.05761991718445317,1.2302522267548446e-5
sumtan,Piranga rubra,2022,nonbreeding,0.433172561960639,1.1465165832243956e-5
pacloo,Gavia pacifica,2022,breeding,0.1379471607322266,1.119080483891556e-5
yecpar,Brotogeris chiriri,2022,resident,0.41810300663547717,1.1031917020247713e-5
scaqua,Callipepla squamata,2022,resident,0.1531672014064166,1.0926365089270939e-5
redkno,Calidris canutus,2022,nonbreeding,0.2942742907063276,1.0341947510827732e-5
crcwar,Oreothlypis superciliosa,2021,resident,0.6012807454847673,1.0254005034149794e-5
whimbr,Numenius phaeopus,2022,breeding,0.13669843793926312,9.696908383051723e-6
rewbul,Pycnonotus jocosus,2021,resident,0.18595764687289404,9.515969324447826e-6
burowl,Athene cunicularia,2022,nonbreeding,0.34170416001424453,8.752466686183225e-6
rudtur,Arenaria interpres,2022,nonbreeding,0.25860440914486704,8.737139107044627e-6
vichum,Ramosomyia violiceps,2022,nonbreeding,0.5302470193072544,8.29706259819118e-6
cogdov,Columbina passerina,2022,nonbreeding,0.057771694449065485,8.110569717227828e-6
verfly,Pyrocephalus rubinus,2022,nonbreeding,0.4427276474100013,7.063935675174881e-6
bkcgna,Polioptila nigriceps,2021,resident,0.06624520811321521,6.968610355753046e-6
relpar,Amazona autumnalis,2022,resident,0.2507794596594595,6.953348057639475e-6
greyel,Tringa melanoleuca,2022,breeding,0.2644437966689325,6.5403033548992195e-6
chiswi,Chaetura pelagica,2022,breeding,0.5508471411270935,6.372834176064602e-6
hoowar,Setophaga citrina,2022,breeding,0.5978351752174424,6.084824503493927e-6
horgre,Podiceps auritus,2022,breeding,0.36199616649279637,5.912545682353379e-6
grawar,Setophaga graciae,2022,nonbreeding,0.7672035748339235,5.397669900447748e-6
glwgul,Larus glaucescens,2022,breeding,0.13251468905201816,5.3947838650435195e-6
tuffly,Mitrephanes phaeocercus,2021,resident,0.8847067652230088,5.194577201893131e-6
egygoo,Alopochen aegyptiaca,2022,resident,0.38914102696468295,5.0651622445838014e-6
gryvir,Vireo vicinior,2022,nonbreeding,0.37773344285316485,5.038924076375066e-6
gresca,Aythya marila,2022,breeding,0.36420740831492027,4.955239450051597e-6
lesyel,Tringa flavipes,2022,nonbreeding,0.3626313686297553,4.677647401344745e-6
lucwar,Leiothlypis luciae,2022,nonbreeding,0.18999446718291477,4.302534608074043e-6
semplo,Charadrius semipalmatus,2022,breeding,0.13486439694188831,4.264616484282872e-6
flctan,Piranga bidentata,2021,resident,0.6059244882799121,4.211289395635975e-6
aldfly,Empidonax alnorum,2022,breeding,0.6323314602348954,4.017606036088771e-6
renpha,Phalaropus lobatus,2021,breeding,0.34690192473232984,3.819019411577326e-6
bawwar,Mniotilta varia,2022,breeding,0.8166797120257451,3.629257683679143e-6
compea,Pavo cristatus,2022,resident,0.196973456475604,3.5472886299496883e-6
blktur,Arenaria melanocephala,2022,breeding,0.2953768912309464,3.448130394600087e-6
yetwar,Setophaga dominica,2022,breeding,0.6928196715689754,3.353345894961014e-6
triher,Egretta tricolor,2022,nonbreeding,0.5417077537196535,3.0133860695741198e-6
bongul,Chroicocephalus philadelphia,2022,breeding,0.1892267257580204,2.985999818640036e-6
rufhum,Selasphorus rufus,2022,nonbreeding,0.7220519608534798,2.809301597158014e-6
larbun,Calamospiza melanocorys,2022,nonbreeding,0.2567420990687446,2.710076922676909e-6
wessan,Calidris mauri,2022,breeding,0.19894514182232398,2.6421085735028247e-6
astfly,Myiarchus cinerascens,2022,nonbreeding,0.023404565410737956,2.6288168256265677e-6
bkhgro,Pheucticus melanocephalus,2022,nonbreeding,0.09813014911696505,2.436679932820987e-6
yebloo,Gavia adamsii,2021,breeding,0.37828829834862265,2.275564055956361e-6
whwsco2,Melanitta deglandi,2022,breeding,0.057794305158573686,2.2255795296268824e-6
blksco2,Melanitta americana,2022,nonbreeding,0.07566270271130421,1.9841779873700686e-6
sander,Calidris alba,2022,breeding,0.05403313340551285,1.8364911953107345e-6
bawwar,Mniotilta varia,2022,nonbreeding,0.34662070748536977,1.7796577374351397e-6
miskit,Ictinia mississippiensis,2022,breeding,0.5881670846861256,1.594621177404168e-6
comter,Sterna hirundo,2022,breeding,0.9718586410756532,1.5748666140408284e-6
robgro,Pheucticus ludovicianus,2022,breeding,0.7495895806683608,1.5311084961440303e-6
