"species_code","scientific_name","common_name","resident","breeding_quality","breeding_range_modeled","breeding_start","breeding_end","nonbreeding_quality","nonbreeding_range_modeled","nonbreeding_start","nonbreeding_end","postbreeding_migration_quality","postbreeding_migration_range_modeled","postbreeding_migration_start","postbreeding_migration_end","prebreeding_migration_quality","prebreeding_migration_range_modeled","prebreeding_migration_start","prebreeding_migration_end","resident_quality","resident_start","resident_end"
"harspa","Zonotrichia querula","Harris's Sparrow",FALSE,"3","TRUE",2021-06-21,2021-08-17,"2","TRUE",2021-12-28,2021-04-19,"2","TRUE",2021-09-07,2021-12-21,"2","TRUE",2021-04-26,2021-06-14,NA,NA,NA
"whtspa","Zonotrichia albicollis","White-throated Sparrow",FALSE,"3","TRUE",2021-06-14,2021-08-24,"3","TRUE",2021-12-14,2021-03-15,"3","TRUE",2021-08-31,2021-12-07,"3","TRUE",2021-03-22,2021-05-31,NA,NA,NA
"sagspa1","Artemisiospiza nevadensis","Sagebrush Sparrow",FALSE,"3","TRUE",2021-04-19,2021-08-24,"3","TRUE",2021-11-16,2021-02-01,"3","TRUE",2021-08-31,2021-11-09,"3","TRUE",2021-02-08,2021-04-12,NA,NA,NA
"belspa2","Artemisiospiza belli","Bell's Sparrow",FALSE,"2","TRUE",2021-04-12,2021-08-31,"1","TRUE",2021-12-28,2021-01-11,"2","TRUE",2021-09-07,2021-11-09,"2","TRUE",2021-03-01,2021-04-05,NA,NA,NA
"vesspa","Pooecetes gramineus","Vesper Sparrow",FALSE,"3","TRUE",2021-05-24,2021-07-27,"3","TRUE",2021-12-14,2021-02-08,"3","TRUE",2021-08-03,2021-12-07,"3","TRUE",2021-02-15,2021-05-17,NA,NA,NA
"lecspa","Ammospiza leconteii","LeConte's Sparrow",FALSE,"3","TRUE",2021-06-07,2021-08-24,"3","TRUE",2021-12-14,2021-03-22,"3","TRUE",2021-08-31,2021-12-07,"3","TRUE",2021-03-29,2021-05-31,NA,NA,NA
"seaspa","Ammospiza maritima","Seaside Sparrow",FALSE,"3","TRUE",2021-05-17,2021-08-17,"3","TRUE",2021-12-07,2021-03-22,"3","TRUE",2021-08-24,2021-11-30,"3","TRUE",2021-03-29,2021-05-10,NA,NA,NA
"nstspa","Ammospiza nelsoni","Nelson's Sparrow",FALSE,"2","TRUE",2021-07-06,2021-07-06,"3","TRUE",2021-12-14,2021-03-15,"2","TRUE",2021-08-31,2021-12-07,"2","TRUE",2021-03-22,2021-06-14,NA,NA,NA
"sstspa","Ammospiza caudacuta","Saltmarsh Sparrow",FALSE,"3","TRUE",2021-05-24,2021-09-07,"3","TRUE",2021-12-14,2021-03-15,"3","TRUE",2021-09-14,2021-12-07,"3","TRUE",2021-03-22,2021-05-17,NA,NA,NA
"savspa","Passerculus sandwichensis","Savannah Sparrow",FALSE,"3","TRUE",2021-06-07,2021-08-03,"3","TRUE",2021-11-30,2021-02-08,"3","TRUE",2021-08-10,2021-11-23,"3","TRUE",2021-02-15,2021-05-31,NA,NA,NA
"baispa","Centronyx bairdii","Baird's Sparrow",FALSE,"3","TRUE",2021-05-17,2021-07-20,"3","TRUE",2021-11-02,2021-03-15,"1","FALSE",2021-08-10,2021-10-19,"0","FALSE",NA,NA,NA,NA,NA
"henspa","Centronyx henslowii","Henslow's Sparrow",FALSE,"3","TRUE",2021-05-17,2021-08-10,"3","TRUE",2021-11-09,2021-03-08,"2","TRUE",2021-08-17,2021-11-02,"3","TRUE",2021-03-15,2021-05-10,NA,NA,NA
"sonspa","Melospiza melodia","Song Sparrow",FALSE,"3","TRUE",2021-05-31,2021-07-13,"3","TRUE",2021-12-07,2021-02-15,"3","TRUE",2021-08-10,2021-11-30,"3","TRUE",2021-02-22,2021-05-24,NA,NA,NA
"linspa","Melospiza lincolnii","Lincoln's Sparrow",FALSE,"3","TRUE",2021-06-14,2021-08-10,"3","TRUE",2021-12-14,2021-02-15,"3","TRUE",2021-08-17,2021-12-07,"3","TRUE",2021-02-22,2021-06-07,NA,NA,NA
"swaspa","Melospiza georgiana","Swamp Sparrow",FALSE,"3","TRUE",2021-06-07,2021-08-31,"3","TRUE",2021-12-28,2021-02-15,"3","TRUE",2021-09-07,2021-12-21,"3","TRUE",2021-02-22,2021-05-31,NA,NA,NA
"laffin1","Pezopetes capitalis","Large-footed Finch",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2021-01-04,2021-12-28
"cantow","Melozone fusca","Canyon Towhee",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"abetow","Melozone aberti","Abert's Towhee",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"caltow","Melozone crissalis","California Towhee",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"pregrs1","Melozone biarcuata","White-faced Ground-Sparrow",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
